C1	C2	weight
Switzerland	USA	1
Canada	USA	13
Denmark	USA	3
New Zealand	Canada	4
Netherlands	USA	2
Japan	Canada	1
France	Finland	1
France	Canada	8
Finland	Canada	2
Sweden	UK	2
Sweden	USA	1
Sweden	Italy	2
Italy	UK	3
Denmark	UK	1
China	USA	13
India	USA	7
Israel	USA	3
Germany	Belgium	1
Germany	USA	9
Belgium	USA	1
Korea	USA	4
Ecuador	UK	1
Austria	Canada	2
Portugal	UK	1
Germany	Switzerland	2
Australia	UK	3
France	UK	4
Canada	UK	5
Norway	Finland	1
Norway	UK	1
Finland	UK	1
Ireland	UK	2
Finland	USA	6
Germany	Portugal	1
Germany	Finland	2
Portugal	Finland	1
Portugal	USA	1
Japan	USA	4
Switzerland	UK	3
Singapore	USA	1
USA	Hong Kong	1
UK	USA	5
Denmark	Japan	1
Denmark	Egypt	1
Japan	Egypt	2
Sweden	China	1
South Africa	USA	1
Austria	USA	1
Germany	Greece	1
Germany	UK	4
Greece	UK	1
Germany	Austria	3
Italy	USA	1
Sweden	Denmark	2
Italy	Denmark	1
China	Japan	1
Sweden	Singapore	2
Netherlands	Finland	1
Netherlands	Canada	2
China	UK	1
China	Hong Kong	2
UK	Hong Kong	1
Finland	Australia	1
Australia	USA	1
France	USA	2
Germany	Korea	1
Korea	Australia	1
Japan	Finland	1
Malaysia	Canada	1
Malaysia	UK	2
Denmark	Germany	4
Denmark	Finland	2
Portugal	Canada	1
Romania	Spain	1
Qatar	USA	1
Spain	UK	2
Denmark	Austria	1
Netherlands	UK	1
USA	UK	3
India	UK	1
Denmark	Spain	1
Switzerland	Canada	1
China	Canada	1
France	Japan	1
Japan	UK	1
Turkey	France	1
Turkey	USA	1
Taiwan	Japan	1
Switzerland	Brazil	1
Spain	Austria	1
Austria	UK	1
France	Brazil	1
UAE	USA	3
Cyprus	UK	1
Germany	Hong Kong	1
Germany	Singapore	1
France	New Zealand	1
Brazil	USA	1
