C1	C2	weight
Korea	USA	11
Finland	UK	5
Germany	Denmark	6
Germany	Canada	4
Canada	USA	18
Korea	Canada	2
Israel	USA	1
Germany	Finland	4
Philippines	USA	1
France	Canada	8
Switzerland	Korea	1
Switzerland	USA	4
China	Hong Kong	3
Finland	Korea	2
Denmark	Switzerland	2
Germany	France	2
Germany	UK	8
France	UK	4
Germany	Austria	3
China	USA	15
Ireland	Finland	1
Ireland	UK	3
Sweden	UK	11
Italy	USA	1
Canada	UK	9
Israel	France	1
Hungary	USA	1
Germany	Australia	3
Germany	USA	10
Austria	USA	3
Netherlands	UK	3
Germany	Japan	3
USA	UK	8
Taiwan	China	1
Taiwan	Canada	1
Taiwan	USA	7
China	Canada	2
UK	USA	7
Switzerland	UK	3
Singapore	Canada	2
France	USA	4
Paraguay	USA	1
Germany	Brazil	1
Denmark	Canada	2
Sweden	Costa Rica	1
Rwanda	USA	1
Japan	Canada	3
Denmark	Netherlands	1
Denmark	Finland	2
Netherlands	Finland	1
Tanzania	USA	1
Australia	USA	4
Sweden	Germany	2
Singapore	Korea	1
Japan	USA	3
Switzerland	China	1
Netherlands	Canada	3
Netherlands	USA	4
USA	Pakistan	1
Pakistan	UK	1
Vietnam	Canada	1
Vietnam	USA	1
New Zealand	Canada	2
New Zealand	UK	2
Denmark	Australia	2
Sweden	Ireland	1
India	USA	2
New Zealand	Japan	1
Austria	UK	2
Germany	Belgium	1
Denmark	UK	4
Denmark	Singapore	1
Denmark	USA	1
Sweden	USA	1
Denmark	Ireland	1
Denmark	France	1
Taiwan	Korea	2
Argentina	USA	1
Brazil	USA	1
Germany	Spain	1
Germany	Netherlands	2
Spain	Netherlands	1
Switzerland	Finland	1
Ecuador	UK	1
Germany	South Africa	1
South Africa	UK	1
Netherlands	Taiwan	1
Ecuador	USA	2
India	UK	2
Korea	Finland	1
Sweden	India	1
Sweden	Denmark	1
India	Denmark	1
Germany	Portugal	1
Germany	Cyprus	2
Portugal	Cyprus	1
Germany	Sweden	2
Sweden	Singapore	1
Singapore	USA	2
Romania	Spain	1
Romania	Canada	1
Spain	Canada	1
Portugal	Austria	1
USA	Hong Kong	2
Denmark	Qatar	1
Australia	Finland	1
Japan	Finland	1
Japan	Australia	1
Finland	Australia	2
New Zealand	Australia	1
Germany	Greece	1
Cyprus	Greece	1
Saudi Arabia	UK	1
Taiwan	Netherlands	1
China	Japan	1
China	Austria	1
Japan	Austria	1
Iran	USA	1
Uganda	Portugal	1
Hong Kong	USA	1
USA	Netherlands	1
USA	Denmark	1
Netherlands	Denmark	1
UK	Denmark	1
Qatar	Switzerland	1
Qatar	USA	1
Singapore	UK	1
Norway	Greece	1
Norway	UK	1
Greece	UK	1
